
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
8C:DC:02:15:BC:EE, 2022-08-11 18:44:28, 2022-08-12 02:43:59, 11, 260, WPA2, CCMP, PSK, -31,      540,      113,   0.  0.  0.  0,  19, FAMILIA CARVALHO_2G, 
18:0D:2C:0A:EE:C1, 2022-08-11 18:44:07, 2022-08-12 02:43:56,  7, 270, WPA2, CCMP, PSK, -73,     9365,        0,   0.  0.  0.  0,  10, Wlad Twibi, 
B8:66:85:1C:CA:72, 2022-08-11 18:44:03, 2022-08-12 02:43:59,  1, 195, WPA2, CCMP, PSK, -78,     6632,     1212,   0.  0.  0.  0,   8, DELCIARA, 
54:A6:5C:11:D8:C2, 2022-08-11 18:44:49, 2022-08-12 02:43:58,  9, 195, WPA2 WPA, CCMP, PSK, -83,     5057,      560,   0.  0.  0.  0,  13, SALA DE VIDEO, 
F4:54:20:5A:7A:EF, 2022-08-11 18:44:21, 2022-08-12 02:43:59,  6, 130, WPA2, CCMP, PSK, -85,     2513,        0,   0.  0.  0.  0,   9, Karol_401, 
CC:ED:21:89:01:79, 2022-08-11 22:57:38, 2022-08-12 02:43:47,  4,  -1, WPA, ,   ,  -1,        0,       26,   0.  0.  0.  0,   0, , 
28:DE:A8:DE:1F:02, 2022-08-11 18:48:04, 2022-08-12 02:43:43, 10, 260, WPA2, CCMP, PSK, -26,       67,       35,   0.  0.  0.  0,  11, AMAPA901_2G, 
6C:BA:B8:EA:48:C1, 2022-08-11 18:44:51, 2022-08-12 02:43:48,  1, 260, WPA2, CCMP, PSK, -27,     1248,        0,   0.  0.  0.  0,  14, CLARO_2GEA48BC, 
44:D4:54:60:90:42, 2022-08-11 18:52:01, 2022-08-12 02:44:21, 11, 260, WPA2, CCMP, PSK, -31,     1083,        0,   0.  0.  0.  0,  14, CLARO_2G60903D, 
78:E9:CF:00:EF:3F, 2022-08-11 19:12:07, 2022-08-12 02:43:44, 11, 130, WPA2, CCMP, PSK, -30,      168,        0,   0.  0.  0.  0,  14, VIVOFIBRA-EF31, 
C0:3C:04:86:3B:8C, 2022-08-12 02:03:30, 2022-08-12 02:44:21, 11, 260, WPA2, CCMP, PSK, -28,      152,       90,   0.  0.  0.  0,  10, JESUSSALVA, 
DC:D9:AE:78:8B:E9, 2022-08-12 02:08:56, 2022-08-12 02:43:32, 10,  -1, WPA, ,   ,  -1,        0,       20,   0.  0.  0.  0,   0, , 
8C:44:4F:9A:EB:51, 2022-08-11 19:46:15, 2022-08-12 02:43:19,  1, 195, WPA2, CCMP, PSK, -27,      658,        6,   0.  0.  0.  0,  13, NET_APT602_2G, 
4C:D0:8A:67:05:2C, 2022-08-12 02:04:29, 2022-08-12 02:43:19,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -84,       62,        0,   0.  0.  0.  0,  11, NET.APT1604, 
4E:D0:8A:67:05:2D, 2022-08-12 02:04:29, 2022-08-12 02:43:19,  6, 130, OPN, ,   , -85,       43,        0,   0.  0.  0.  0,  15, #NET-CLARO-WIFI, 
94:EA:EA:5D:27:A9, 2022-08-12 02:06:22, 2022-08-12 02:43:11,  6, 130, WPA2, CCMP, PSK, -84,        0,        0,   0.  0.  0.  0,  14, VIVOFIBRA-27AB, 
08:A7:C0:6D:EC:30, 2022-08-11 20:16:39, 2022-08-12 02:43:11, 11, 195, WPA2, CCMP, PSK, -85,      160,       56,   0.  0.  0.  0,  14, CLARO_2G6DEC2C, 
